City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,sona,45.4388,10.8255,21.85,73,75,1.03,IT,1691725890
169,tolanaro,-25.0319,46.9987,17.04,82,75,1.03,MG,1691725890
170,hermanus,-34.4187,19.2345,15.17,55,0,0.82,ZA,1691725890
171,paradip garh,20.3167,86.6167,32.18,57,100,3.75,IN,1691725891
172,happy valley-goose bay,53.3168,-60.3315,13.17,71,75,2.06,CA,1691725891
173,kyzyl,51.7,94.45,23.6,43,36,2.47,RU,1691725761
174,hithadhoo,-0.6,73.0833,27.93,75,95,4.57,MV,1691725891
175,farasan,16.7022,42.1183,30.41,82,13,4.13,SA,1691725891
176,hamilton,39.1834,-84.5333,22.13,88,0,2.57,US,1691725532
177,rongelap,11.1635,166.8941,28.38,71,100,6.66,MH,1691725891
178,senanga,-16.1167,23.2667,10.88,56,0,2.75,ZM,1691725891
179,rome,34.257,-85.1647,24.98,88,100,0.0,US,1691725891
180,rio branco,-9.9747,-67.81,25.34,88,0,1.03,BR,1691725891
181,ribeira brava,32.65,-17.0667,27.35,55,0,2.77,PT,1691725891
182,shingu,33.7333,135.9833,29.51,71,13,4.79,JP,1691725892
183,pasuquin,18.3328,120.6177,30.97,70,40,6.17,PH,1691725892
184,chinchilla,-26.75,150.6333,24.24,24,0,4.47,AU,1691725819
185,ambovombe,-25.1667,46.0833,16.39,65,57,4.55,MG,1691725892
186,jayapura,-2.5333,140.7,34.66,73,95,3.35,ID,1691725847
187,kerikeri,-35.2268,173.9474,13.27,49,5,2.84,NZ,1691725892
188,vamospercs,47.5333,21.9,13.84,85,70,2.14,HU,1691725892
189,anadyr,64.75,177.4833,9.28,87,100,2.68,RU,1691725892
190,port lincoln,-34.7333,135.8667,14.27,58,99,1.25,AU,1691725892
191,lerwick,60.1545,-1.1494,14.0,90,6,7.61,GB,1691725892
192,maksatikha,57.797,35.8825,15.42,75,73,1.08,RU,1691725892
193,zhanaozen,43.3,52.8,30.04,25,3,5.04,KZ,1691725893
194,remire-montjoly,4.9167,-52.2667,23.02,100,20,0.0,GF,1691725893
195,daru,-9.0763,143.2092,25.43,71,95,7.33,PG,1691725893
196,nemuro,43.3236,145.575,21.3,91,90,6.4,JP,1691725893
197,dellys,36.9172,3.9131,25.92,63,2,1.2,DZ,1691725893
198,umm kaddadah,13.6017,26.6876,25.95,66,100,2.88,SD,1691725893
199,aksu,41.1231,80.2644,29.92,28,99,3.7,CN,1691725893
200,ketchikan,55.3422,-131.6461,15.26,94,100,4.12,US,1691725893
201,tejen,37.3834,60.5054,33.99,20,0,2.42,TM,1691725894
202,bandon,51.7469,-8.7425,15.77,90,86,7.33,IE,1691725894
203,thoen,17.6129,99.2161,31.2,59,100,1.83,TH,1691725894
204,hammerfest,70.6634,23.6821,17.25,72,7,0.0,NO,1691725894
205,roma,43.2128,-75.4557,18.31,96,0,1.54,US,1691725864
206,camocim,-2.9022,-40.8411,23.33,92,26,4.51,BR,1691725894
207,kodiak,57.79,-152.4072,12.73,94,100,3.6,US,1691725743
208,yotoco,3.8605,-76.3836,24.08,94,73,0.25,CO,1691725894
209,bardai,11.65,7.2333,20.81,94,100,3.16,NG,1691725894
210,smithers,54.7804,-127.1743,18.18,52,75,0.0,CA,1691725894
211,egilsstadir,65.2653,-14.3948,6.95,93,75,2.57,IS,1691725895
212,badger,64.8,-147.5333,19.93,88,100,2.06,US,1691725895
213,mahibadhoo,3.7833,72.9667,28.19,75,98,5.79,MV,1691725895
214,carnarvon,-24.8667,113.6333,22.03,62,5,2.82,AU,1691725895
215,noosa heads,-26.3833,153.15,26.3,51,1,5.21,AU,1691725895
216,rio verde de mato grosso,-18.9181,-54.8442,25.29,29,0,2.13,BR,1691725895
217,port douglas,-16.4833,145.4667,22.61,67,93,6.8,AU,1691725895
218,kushikino,31.7167,130.2667,31.71,72,28,2.72,JP,1691725895
219,preston,53.7667,-2.7167,19.4,91,93,5.1,GB,1691725895
220,mount gambier,-37.8333,140.7667,12.56,80,100,4.34,AU,1691725895
221,naze,28.3667,129.4833,26.51,79,100,0.62,JP,1691725895
222,kolonia town,6.964,158.206,32.06,74,75,4.12,FM,1691725896
223,geraldton,-28.7667,114.6,17.23,82,100,4.63,AU,1691725651
224,praia da vitoria,38.7333,-27.0667,23.14,88,40,3.7,PT,1691725896
225,usogorsk,63.4106,48.6872,20.18,57,0,2.2,RU,1691725896
226,trairi,-3.2778,-39.2689,24.0,90,29,3.79,BR,1691725896
227,burang,30.25,81.1667,13.67,68,100,1.61,CN,1691725896
228,selfoss,63.9331,-20.9971,13.36,82,80,5.03,IS,1691725896
229,quesnel,52.9999,-122.5029,19.28,68,100,0.0,CA,1691725896
230,waddan,29.1614,16.139,22.78,73,0,2.43,LY,1691725896
231,ostersund,63.1792,14.6357,10.34,100,100,1.79,SE,1691725896
232,vadso,70.0744,29.7487,16.09,82,20,5.14,NO,1691725896
233,celestun,20.8667,-90.4,29.22,75,37,7.23,MX,1691725896
234,tafuna,-14.3358,-170.72,29.97,84,40,5.66,AS,1691725897
235,glace bay,46.1969,-59.957,17.1,91,40,5.36,CA,1691725897
236,west bay,19.3667,-81.4167,31.04,81,20,3.6,KY,1691725897
237,rio grande,-32.035,-52.0986,16.64,99,77,3.64,BR,1691725897
238,olonkinbyen,70.9221,-8.7187,6.36,98,98,1.82,SJ,1691725897
239,tommot,58.9564,126.2925,19.09,83,100,2.17,RU,1691725897
240,prince rupert,54.3161,-130.3201,14.05,100,100,4.63,CA,1691725789
241,ugoofaaru,5.6667,73.0,28.35,75,95,6.65,MV,1691725897
242,nikolayevsk-on-amure,53.1406,140.73,23.51,52,0,2.78,RU,1691725897
243,mermoz boabab,14.7065,-17.4758,27.88,78,75,2.06,SN,1691725897
244,puerto armuelles,8.2833,-82.8667,27.27,91,100,1.34,PA,1691725897
245,nova sintra,14.8667,-24.7167,22.34,75,38,4.71,CV,1691725898
246,escarcega,18.6089,-90.7454,26.17,84,60,1.01,MX,1691725898
247,coracora,-15.0333,-73.7833,9.89,45,0,1.09,PE,1691725898
248,quelimane,-17.8786,36.8883,18.97,88,75,0.51,MZ,1691725898
249,floro,61.5996,5.0328,9.04,93,75,3.09,NO,1691725898
250,atar,20.5169,-13.0499,34.9,26,33,5.4,MR,1691725899
251,eggesin,53.6833,14.0833,12.77,95,17,2.95,DE,1691725899
252,briare,47.6334,2.7438,18.12,80,4,3.2,FR,1691725899
253,igarka,67.4667,86.5833,9.51,89,100,7.12,RU,1691725899
254,galax,36.6612,-80.924,18.76,90,0,0.89,US,1691725899
255,carutapera,-1.195,-46.02,23.7,93,11,1.5,BR,1691725899
